0,1235
1,1495
2,2355
3,1479
4,1585
5,1092
6,1593
7,1353
8,473
9,1966
10,1734
11,2574
12,1599
13,1864
14,1053
15,1336
16,1462
17,1536
18,846
19,3937
20,2456
21,1392
22,1178
23,1761
24,526
25,1549
26,2170
27,1668
28,1416
29,1167
30,2070
31,1691
32,1226
33,716
34,638
35,1572
36,2242
37,2291
38,1103
39,2027
40,618
41,3913
42,1713
43,1447
44,2269
45,1483
46,733
47,1280
48,1853
49,1261
50,1008
51,1161
52,1279
53,1790
54,2137
55,1710
56,690
57,781
58,1396
59,1660
60,1911
61,675
62,1733
63,1938
64,1145
65,340
66,1058
67,2237
68,1235
69,1329
70,1227
71,1390
72,2244
73,602
74,1782
75,2116
76,542
77,1999
78,1501
79,1476
80,1578
81,1262
82,321
83,1255
84,617
85,661
86,1656
87,1219
88,2327
89,1227
90,2077
91,2646
92,2310
93,1275
94,1150
95,1294
96,1068
97,1830
98,1909
99,1367
100,1866
101,1336
102,2186
103,2014
104,830
105,865
106,1726
107,1498
108,742
109,811
110,1829
111,1752
112,1360
113,730
114,806
115,1868
116,2202
117,1756
118,1069
119,2033
120,432
121,2435
122,1964
123,411
124,2574
125,1922
126,728
127,1289
